device_id,phone_brand,device_model
1877775838486905855,vivo,Y13
-3766087376657242966,Xiaomi,V183
-6238937574958215831,OPPO,R7S
8973197758510677470,Samsung,A368T
-2015528097870762664,Xiaomi,Redmi Note2
-8896952452425303597,Xiaomi,Redmi Note3
-2634171391322875113,Xiaomi,S5.1
-2526386806972133373,Samsung,Galaxy Grand Prime
1427934937997164515,Xiaomi,Mi 2S
2866484947180243791,Samsung,Galaxy Note 2
-1788272684905942357,OPPO,R1C
3888046152514759348,Coolpad,Great God F1Plus
-8290049751573565686,Xiaomi,Note top version
7566850031220622843,Samsung,Galaxy Mega 2
7702755134578190493,Lenovo,Star 1
2210317512148990062,Samsung,Galaxy S4
6413840150233100470,Xiaomi,Mi 3
-7157178797095341985,OPPO,Find 7
3773929364530635568,Samsung,Galaxy S4
-221375520372280325,Huawei,C8816
-1529784001868224729,Xiaomi,Redmi Note
4850625369950350903,Xiaomi,Mi 2S
-8705713195059105949,vivo,X6 L
-8237879889852702762,Samsung,Galaxy Win
9169567266060728256,Cool,Youth version
-2659978419129676300,Meizu,MX3
7284092388756598809,vivo,Y35
4861461186174922250,Samsung,Galaxy S4
6328635369683925487,Huawei,G520-5000
7041718166515288774,Huawei,Honor 4A
-1236911788776265857,Meizu,Charm Blue Note 2
8160454408307831353,Huawei,Y560-CL00
4774893156465007808,Huawei,Honor 7i
3849619405853553440,OPPO,R7S
-4673024056609443545,OPPO,3000
5470448269705457016,Huawei,Honor Play 4C
2343579866000413303,Huawei,Honor Play 4C
9123578208462773473,Faixun,C730LW
-7433504688399805169,Xiaomi,Redmi 2A
-3204910612963454775,China Mobile,A1
2447736478478001359,Xiaomi,Redmi Note2
-4565983969660056221,Huawei,Honor 4A
6388479051361027798,HTC,One
-7551177178690081198,Samsung,Galaxy j7
7282984770550295272,OPPO,R3
-7576597756028049029,Meizu,MX2
-5359700961533042039,Huawei,Honor Play 5
-2195934948798249763,Xiaomi,Redmi 2A
-192352794899525229,Huawei,Glory 7
-6356216319990099800,Xiaomi,Redmi Note3
5658503144090334304,Xiaomi,Redmi Note3
5362414323913396709,Xiaomi,Mi 4
-5213772073878480965,HTC,ONE M8
7429804557855734395,Coolpad,Great God F1Plus
3555236982352164337,Xiaomi,Redmi 1s
-4812392510358928779,Huawei,Mai Mang 4
5717123589381461122,Samsung,Galaxy S6 Edge
3743323523263244174,Samsung,A3800D
4295419075302941056,Samsung,P780
91862595983858433,Huawei,Ascend G7
5040917292554192732,Huawei,Honor 6
-298209719519394007,vivo,Xperia SL
2867376881216420730,Xiaomi,Redmi Note
5191524460861112478,vivo,Y17T
6697710099523141698,Xiaomi,Redmi 2A
-1716802318038722504,Huawei,Honor Play 4X
2491834756764052202,Xiaomi,Redmi Note2
4587826855157237169,Xiaomi,Mi 4
-8493829029096165645,Huawei,Ascend P7
-6917920679995755523,Samsung,Galaxy Grand 2
-5309065816258250269,Huawei,Honor 3X Play Edition
-3870196764022791304,Huawei,Honor 3X Play Edition
1695370769288061373,Xiaomi,Mi 2S
-278068502873964170,Huawei,Honor X2
-2893885378330434404,Xiaomi,Redmi Note
-912049581523959454,Xiaomi,Mi 2S
292490367575458114,Huawei,Ascend P8
-4360555508973614819,Huawei,Ascend P8
4212674843428101228,Xiaomi,Note top version
4639336036346111635,OPPO,R2017
-5718006612845148817,Meizu,Charm Blue Note
8915561730113476471,Huawei,Mate 2
-4324052415866163942,HTC,M8
8267071147690589949,Amagatarai,T87+
-6811020752449486929,vivo,X710L
-3627593989895490489,Xiaomi,Redmi 2A
-1331297413733813437,Samsung,A890E
-4918287877159341617,OPPO,R7
4071189105200132729,vivo,X5M
-7417783733821429514,Meizu,MX5
-8511468882134219711,Samsung,Galaxy mega 5.8
1721264555614172216,Xiaomi,Redmi Note
6436642349073758222,Supreme,L81
-6947252461631064868,vivo,Xperia Z1
4653180589912788852,Huawei,Honor 6 Plus
-1448462447603417846,vivo,X5max+
-1095322848316287559,Samsung,Galaxy j5
7159481660763360016,Samsung,Galaxy Note 4
-7551022170420705991,Huawei,Honor Play 4X
8913712665560554000,OPPO,A31
-8535054574873945625,Xiaomi,GN706L
-201913740969188733,LG,G3
3542609564785412310,Xiaomi,Redmi Note2
-5671369060219766721,Huawei,Honor 4A
-100940592492056221,Huawei,Honor 3X Play Edition
8900820791949736369,OPPO,A31
-9180926281340471711,Huawei,P8 Lite
-8834197419666116450,HTC,Sensation xe with Beats Audio Z715e
7264816067417084803,Samsung,A880
-7442953120881930488,Huawei,Honor+
3036896777601266392,vivo,X5L
-4664826343102058626,Coolpad,8720L
7217630266393848921,Ou Boxin,IVO 6655
612130167135025468,OPPO,R7 Plus
-958885459095616125,Huawei,Honor Play 4
6583615012141971106,Meizu,Mx4
453830899211448672,Huawei,Y635-TL00
6501207118535898105,OPPO,R7 Plus
6022573162602849507,Meizu,Charm Blue Note
-5302541723675315957,Samsung,Galaxy Note 4
6290471445634216317,Samsung,Galaxy S3
1245304237162917806,vivo,X3L
3490014235418428347,OPPO,R7 Plus
-942277992798295690,Quality rice,3
66371103820484651,Meizu,Charm Blue Note
-936229475314307255,OPPO,R807
-2052931391884354863,Samsung,Golden Fighter A8
2495325660978320665,HTC,ONE X
281919665103431151,Huawei,Honor 6 Plus
7149703526428520096,Xiaomi,Xiaomi Note
-7764984413175280318,OPPO,R6007
3361290527680006429,Samsung,Galaxy S2 Plus
1251552303715560512,Quality rice,R1
8243526688621021992,Xiaomi,Mi 4
3230310033150954188,Xiaomi,Mi 4
-5857644671281076071,Xiaomi,Mi 4
-29417624882649495,Huawei,Honor 3C
-4625727081731996510,Xiaomi,Redmi Note
-1888038150727552835,OPPO,A31
-8598165017411771057,Xiaomi,Xiaomi 4C
8432654329875462892,OPPO,R823T
4088195813844675474,Xiaomi,Redmi Note
2059755379196360083,Huawei,Mate 7
-2137254309449876987,Samsung,Galaxy Note 2
3112068045705732552,Xiaomi,Mi 2
-9177307476920384286,Xiaomi,Redmi Note2
1173167147066151986,Huawei,Honor 3X Play Edition
9147649881414493430,Xiaomi,Mi 2S
-8415017597050690671,Xiaomi,Redmi Note2
-4765045079954976569,Coolpad,F2
-2910907458123210285,Huawei,Honor Play 4C
5178547052069202900,OPPO,Find 7
966221935852465578,Xiaomi,Mi 2S
-739079869002392564,Samsung,Galaxy S5
-7699716794422319427,vivo,Xperia TX
6457541248272582514,OPPO,A31
802817220412171544,Samsung,Galaxy S5
-5849854081076173130,Xiaomi,Note top version
-3222776250853963251,Samsung,Galaxy Trend Duos 2
-3879814950608035840,Zuk,Z1
8565274130668106625,Huawei,Honor 3X Play Edition
-8651665791729763140,Xiaomi,Mi 2S
1228560407293443629,Huawei,Ascend P8
1702736327130287622,vivo,Y11it
5361561146989183803,Xiaomi,Redmi Note enhanced version
-2991070776784842454,Samsung,Galaxy S4
-1149982181569750169,OPPO,A31
1969430954850806984,Xiaomi,Mi 3
-9180656534144532607,Xiaomi,Tianjian W900
-7073378532221464420,Huawei,Ascend G700T
